model,forecast_date,target,target_week_end,national_raw_error,national_log_difference,national_percentage_error,national_bre,cc_national_score,cc_national_rank,cc_national_rank_percentile,state_point_forecasts_num,state_log_difference_squared,state_pearson_fit_statistic,state_mean_absolute_error,state_geo_mean_log_difference,state_median_log_difference,state_bre,state_bre_signed,state_pred_25,state_missed_by_2x,state_rmse,state_mape,state_smape,cc_state_point_score,cc_state_point_rank,cc_state_point_rank_percentile,state_range_forecasts_num,state_range_capture_rate_95pi,state_range_capture_rate_50pi,state_range_10th_percentile_width,state_range_25th_percentile_width,state_range_50th_percentile_width,state_range_average_width,state_range_75th_percentile_width,state_range_90th_percentile_width,state_ranges_gt_4x,state_ranges_gt_10x,state_ranges_95PI_score,state_ranges_interval_normalized,state_ranges_precision_raw,state_ranges_precision_95pi_adjusted,cc_state_range_score,cc_state_range_rank,cc_state_range_rank_percentile,cc_state_range_score_v2,cc_state_range_rank_v2,cc_state_range_rank_percentile_v2,state_ranges_50PI_score,state_ranges_synthetic_wis,state_ranges_synthetic_wis_sharpness,state_ranges_synthetic_wis_penalty,state_ranges_synthetic_wis_rank_percentile,state_mean_absolute_error_rank_percentile,state_log_difference_squared_rank_percentile,state_pearson_rank_percentile,state_log_difference_geo_mean_rank_percentile,state_rmse_rank_percentile,state_mape_rank_percentile,state_smape_rank_percentile,state_bre_rank_percentile,state_pred25_rank_percentile
Columbia,7/6/2020,2 wk ahead inc death,7/18/2020,2902,0.219,24.54%,24.54%,75%,7,75.00%,51,60.08,3675.23,90.9,49.17%,21.94%,90.58%,14.91%,25.49%,33.33%,149.81,72.24%,64.32%,12.57%,14,88.89%,51,80.39%,0.02,2.404,2.872,5.465,27.597,20.5,96,52.94%,31.37%,29313,277.2,18.67%,38.97%,28.90%,10,50.00%,47.37%,9,55.56%,47208,130,6.3,123.69,88.89%,73.68%,21.05%,47.37%,10.53%,94.74%,15.79%,26.32%,47.37%,42.11%
Columbia-UNC,7/6/2020,2 wk ahead inc death,7/18/2020,-1335,-0.12,-11.29%,-12.73%,75%,4,87.50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ensemble,7/6/2020,2 wk ahead inc death,7/18/2020,-3655,-0.37,-30.91%,-44.74%,0%,13,50.00%,51,13.39,2020.82,80.27,24.09%,-7.34%,56.95%,-17.65%,37.26%,15.69%,235.81,38.50%,38.86%,54.32%,1,66.67%,51,94.12%,0.02,3.475,3.92,5.286,6.778,7.648,11.5,56.86%,13.73%,63582,145,28.59%,59.69%,39.20%,4,83.33%,82.82%,1,100.00%,47208,142.37,5.42,136.96,66.67%,89.47%,100.00%,100.00%,94.74%,68.42%,100.00%,100.00%,89.47%,94.74%
ERDC,7/6/2020,2 wk ahead inc death,7/18/2020,-740,-0.065,-6.26%,-6.68%,90%,2,95.83%,51,18.25,2080.69,77.33,31.08%,12.61%,55.63%,15.23%,37.26%,19.61%,148.93,46.95%,40.46%,45.23%,4,50.00%,51,33.33%,0.02,1.186,1.255,1.446,1.557,1.596,2.188,0.00%,0.00%,109626,607.9,78.93%,100.00%,35.10%,5,77.78%,35.09%,13,33.33%,47208,160.73,1.25,159.48,50.00%,100.00%,73.68%,89.47%,78.95%,100.00%,68.42%,89.47%,94.74%,94.74%
GT-DeepCOVID,7/6/2020,2 wk ahead inc death,7/18/2020,-10642,-2.302,-90.00%,-899.58%,0%,25,0.00%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IHME,7/6/2020,2 wk ahead inc death,7/18/2020,-4208,-0.44,-35.59%,-55.25%,0%,14,45.83%,51,110.76,5325.18,108.04,47.27%,-19.84%,4.58%,55.03%,27.45%,29.41%,254.58,70.34%,84.02%,8.94%,18,22.22%,51,35.29%,0.02,1,1.486,1.722,1.933,2.02,2.527,1.96%,1.96%,145461,1006.7,73.07%,100.00%,35.10%,5,77.78%,37.15%,11,44.44%,47208,180.06,2.02,178.04,22.22%,42.11%,5.26%,26.32%,15.79%,52.63%,21.05%,10.53%,100.00%,52.63%
JHU,7/6/2020,2 wk ahead inc death,7/18/2020,-14,-0.001,-0.12%,-0.12%,100%,1,100.00%,51,45.07,8030.47,109.82,41.29%,41.95%,104.90%,79.66%,19.61%,33.33%,217.93,125.20%,103.02%,4.17%,19,72.22%,51,88.24%,0.02,3.648,5.308,10.174,16.908,23.267,32.84,74.51%,43.14%,48267,737.8,16.15%,33.72%,14.40%,15,22.22%,48.95%,8,61.11%,47208,140.63,10.88,129.75,72.22%,36.84%,26.32%,10.53%,31.58%,78.95%,5.26%,5.26%,15.79%,5.26%
LANL,7/6/2020,2 wk ahead inc death,7/18/2020,-5299,-0.594,-44.81%,-81.20%,0%,19,25.00%,51,18.24,3184.17,102.06,31.16%,-10.54%,73.76%,-30.31%,37.26%,17.65%,290.35,43.80%,45.29%,41.70%,6,55.56%,51,90.20%,0.02,4.429,4.994,5.875,7.003,7.24,11.667,84.31%,13.73%,91682,181,26.72%,55.79%,6.20%,17,11.11%,75.40%,3,88.89%,47208,157.18,5.34,151.84,55.56%,57.90%,78.95%,63.16%,73.68%,31.58%,73.68%,73.68%,68.42%,94.74%
LSHTM,7/6/2020,2 wk ahead inc death,7/18/2020,-6802,-0.856,-57.52%,-135.42%,0%,23,8.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MIT-CovAlliance,7/6/2020,2 wk ahead inc death,7/18/2020,-7100,-0.917,-60.04%,-150.27%,0%,24,4.17%,51,227.55,120985.27,331.39,86.14%,0.00%,110.07%,139.32%,11.77%,54.90%,875.4,199.20%,182.94%,9.49%,17,0.00%,51,33.33%,0.02,1.8,2.326,4.75,18.432,20.824,38.58,17.65%,17.65%,332562,2805.6,23.52%,49.09%,16.50%,14,27.78%,9.17%,17,11.11%,47208,290.62,31.49,259.13,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,10.53%,0.00%
MIT-ORC,7/6/2020,2 wk ahead inc death,7/18/2020,3661,0.27,30.96%,30.96%,0%,9,66.67%,51,19.1,7047.11,120.86,43.02%,26.41%,76.58%,26.90%,23.53%,21.57%,226.84,64.12%,49.00%,17.03%,12,61.11%,51,86.28%,0.02,1.897,4.83,32,156.667,131.095,370,74.51%,62.75%,71619,368.3,6.26%,13.06%,12.40%,16,16.67%,15.23%,16,16.67%,47208,151.86,13.06,138.79,61.11%,21.05%,68.42%,21.05%,21.05%,73.68%,36.84%,68.42%,57.90%,21.05%
MOBS,7/6/2020,2 wk ahead inc death,7/18/2020,-3422,-0.342,-28.94%,-40.72%,0%,11,58.33%,50,29.43,3923.76,118.58,41.12%,-17.26%,91.64%,-32.38%,26.00%,32.00%,303.1,54.72%,54.69%,14.49%,13,16.67%,50,56.00%,0.02,1.579,2.102,2.792,5.515,4.803,13.625,22.00%,10.00%,142076,363.6,41.39%,86.40%,35.10%,5,77.78%,52.10%,10,50.00%,47124,183.34,3.48,179.86,16.67%,26.32%,42.11%,36.84%,42.11%,21.05%,42.11%,36.84%,31.58%,47.37%
NotreDame-Mobility,7/6/2020,2 wk ahead inc death,7/18/2020,-6129,-0.73,-51.83%,-107.60%,0%,21,16.67%,51,65.57,4049.47,121.47,38.07%,-34.97%,78.29%,-35.53%,25.49%,31.37%,310.4,54.14%,56.50%,10.10%,16,11.11%,51,68.63%,0.02,2.097,2.621,3.438,9.281,9.231,25,39.22%,23.53%,161630,342.9,30.06%,62.74%,31.00%,8,61.11%,58.36%,7,66.67%,47208,188.72,2.58,186.14,11.11%,15.79%,15.79%,31.58%,57.90%,15.79%,47.37%,31.58%,52.63%,42.11%
Oliver Wyman,7/6/2020,2 wk ahead inc death,7/18/2020,-3192,-0.315,-26.99%,-36.97%,0%,10,62.50%,51,13.83,2238.17,87.02,23.94%,-8.08%,58.19%,-13.77%,45.10%,17.65%,238.09,40.85%,39.54%,54.02%,2,94.44%,51,92.16%,0.02,2.563,4.377,10.27,69.723,62.685,198,68.63%,45.10%,28523,133.4,10.53%,21.98%,24.80%,12,38.89%,36.13%,12,38.89%,47208,129.08,6.77,122.32,94.44%,78.95%,94.74%,84.21%,100.00%,63.16%,89.47%,94.74%,84.21%,100.00%
PSI,7/6/2020,2 wk ahead inc death,7/18/2020,-5128,-0.569,-43.37%,-76.57%,0%,17,33.33%,51,88.42,7478.45,153.14,60.66%,-54.10%,123.68%,-76.53%,21.57%,50.98%,379.9,64.52%,80.35%,1.55%,20,33.33%,51,78.43%,0.02,7.292,13.333,34,118.034,210,296,76.47%,66.67%,123876,335.6,4.40%,9.18%,2.10%,18,5.56%,0.07%,19,0.00%,47208,178.13,6.03,172.11,33.33%,5.26%,10.53%,15.79%,5.26%,5.26%,26.32%,15.79%,5.26%,15.79%
QJHong,7/6/2020,2 wk ahead inc death,7/18/2020,1604,0.127,13.56%,13.56%,75%,5,83.33%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UA,7/6/2020,2 wk ahead inc death,7/18/2020,-5711,-0.66,-48.30%,-93.41%,0%,20,20.83%,51,37.25,3738.22,118.57,42.63%,-65.34%,127.90%,-99.77%,25.49%,45.10%,296.51,54.10%,64.54%,11.72%,15,5.56%,51,31.37%,0.02,1.302,1.431,2.056,2.568,2.714,4.667,7.84%,0.00%,179424,657.2,60.69%,100.00%,24.80%,12,38.89%,33.02%,15,22.22%,47208,195.54,1.25,194.29,5.56%,31.58%,31.58%,42.11%,26.32%,26.32%,52.63%,21.05%,0.00%,42.11%
UCLA,7/6/2020,2 wk ahead inc death,7/18/2020,-5243,-0.586,-44.34%,-79.66%,0%,18,29.17%,51,30.08,2864.06,98.29,35.97%,-42.02%,90.76%,-66.63%,33.33%,25.49%,277.48,42.71%,52.18%,26.05%,8,27.78%,51,33.33%,0.02,1.485,1.632,1.741,2.383,1.854,2.101,3.92%,3.92%,144547,569,67.86%,100.00%,31.00%,8,61.11%,35.09%,13,33.33%,47208,178.2,1.58,176.62,27.78%,68.42%,36.84%,73.68%,63.16%,42.11%,78.95%,47.37%,42.11%,73.68%
UM,7/6/2020,2 wk ahead inc death,7/18/2020,-6538,-0.805,-55.29%,-123.66%,0%,22,12.50%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UMass-MB,7/6/2020,2 wk ahead inc death,7/18/2020,-2298,-0.216,-19.43%,-24.12%,75%,6,79.17%,51,14.15,2076.9,84.02,27.08%,-25.87%,60.22%,-29.55%,33.33%,15.69%,216.38,40.07%,42.42%,45.16%,5,83.33%,51,84.31%,0.02,2.645,3.388,3.949,5.647,5.125,13.667,33.33%,13.73%,52422,149.4,34.46%,71.95%,53.70%,2,94.44%,80.88%,2,94.44%,47208,138.39,4.34,134.05,83.33%,84.21%,89.47%,94.74%,89.47%,84.21%,94.74%,78.95%,78.95%,73.68%
